종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58J782","KBJ782삼성전자풋","10","0","0","0","0","0","0","250000000","25000000","삼성전자","79,800","1700","2.18"
"58J793","KBJ793LG에너지풋","125","0","0","0","0","0","0","1875000000","15000000","LG에너지솔루션","331,000","-5500","-1.63"
"58J801","KBJ801네이버풋","45","0","0","0","0","0","0","819000000","18200000","NAVER","166,800","700","0.42"
"58J810","KBJ810기아콜","320","0","0","0","0","0","0","4160000000","13000000","기아","131,000","1900","1.47"
"58J815","KBJ815엘지전자콜","10","0","0","0","0","0","0","150000000","15000000","LG전자","101,800","1400","1.39"
"58J836","KBJ836모비스콜","15","0","0","0","0","0","0","330000000","22000000","현대모비스","235,500","500","0.21"
"58J843","KBJ843신한지주콜","160","0","0","0","0","0","0","2400000000","15000000","신한지주","45,700","-500","-1.08"
"58J859","KBJ859케이티콜","50","0","50","50","50","97730","4886500","1100000000","22000000","KT","36,300","100","0.28"
"58J993","KBJ993삼성전자풋","5","0","0","0","0","0","0","102500000","20500000","삼성전자","79,800","1700","2.18"
"58JA03","KBJA03SK하이닉풋","5","0","0","0","0","0","0","78500000","15700000","SK하이닉스","234,500","11500","5.16"
"58JA09","KBJA09LG에너지풋","185","35","185","185","185","20","3700","1887000000","10200000","LG에너지솔루션","331,000","-5500","-1.63"
"58JA19","KBJA19삼성SDI풋","235","0","0","0","0","0","0","1997500000","8500000","삼성SDI","375,000","-6000","-1.57"
"58JA21","KBJA21현대차콜","375","30","375","375","375","100","37500","3300000000","8800000","현대차","283,000","4500","1.62"
"58JA28","KBJA28카카오풋","15","0","0","0","0","0","0","177000000","11800000","카카오","42,300","-100","-0.24"
"58JA51","KBJA51LG이노텍풋","25","0","0","0","0","0","0","417500000","16700000","LG이노텍","263,500","2000","0.76"
"58JA52","KBJA52LG이노텍풋","10","0","10","10","10","10","100","150000000","15000000","LG이노텍","263,500","2000","0.76"
"58JA54","KBJA54삼성바이풋","15","0","0","0","0","0","0","238500000","15900000","삼성바이오로직스","740,000","4000","0.54"
"58JA68","KBJA68카카뱅크풋","20","0","20","20","20","20","400","300000000","15000000","카카오뱅크","20,950","-300","-1.41"
"58JA75","KBJA75NC소프트풋","35","-5","35","35","35","10","350","626500000","17900000","엔씨소프트","183,900","-1900","-1.02"
"58JA76","KBJA76SK텔레콤콜","30","0","30","30","30","20020","600600","300000000","10000000","SK텔레콤","51,500","500","0.98"
"58JA78","KBJA78SK텔레콤풋","35","0","0","0","0","0","0","549500000","15700000","SK텔레콤","51,500","500","0.98"
"58JA79","KBJA79SK텔레콤풋","15","0","0","0","0","0","0","201000000","13400000","SK텔레콤","51,500","500","0.98"
"58JA84","KBJA84우리금융콜","60","0","55","65","55","346510","20790600","738000000","12300000","우리금융지주","14,120","170","1.22"
"58JC71","KBJC71삼성전자콜","75","0","75","75","75","100","7500","922500000","12300000","삼성전자","79,800","1700","2.18"
"58JC72","KBJC72삼성전자콜","80","5","80","80","80","680","54400","960000000","12000000","삼성전자","79,800","1700","2.18"
"58JC73","KBJC73삼성전자콜","70","0","0","0","0","0","0","924000000","13200000","삼성전자","79,800","1700","2.18"
"58JC75","KBJC75삼성전자콜","125","0","0","0","0","0","0","1312500000","10500000","삼성전자","79,800","1700","2.18"
"58JC76","KBJC76삼성전자풋","15","0","0","0","0","0","0","247500000","16500000","삼성전자","79,800","1700","2.18"
"58JC81","KBJC81SK하이닉풋","10","0","0","0","0","0","0","117000000","11700000","SK하이닉스","234,500","11500","5.16"
"58JC83","KBJC83네이버콜","25","0","0","0","0","0","0","365000000","14600000","NAVER","166,800","700","0.42"
"58JD20","KBJD20삼성바이풋","30","0","0","0","0","0","0","450000000","15000000","삼성바이오로직스","740,000","4000","0.54"
"58JD21","KBJD21모비스콜","55","5","50","55","50","106630","5686900","863500000","15700000","현대모비스","235,500","500","0.21"
"58JD22","KBJD22모비스콜","35","0","35","35","35","115490","4042150","595000000","17000000","현대모비스","235,500","500","0.21"
"58JD24","KBJD24모비스풋","15","0","0","0","0","0","0","345000000","23000000","현대모비스","235,500","500","0.21"
"58JD25","KBJD25모비스풋","15","0","20","20","15","20","350","315000000","21000000","현대모비스","235,500","500","0.21"
"58JD30","KBJD30하나금융콜","60","0","0","0","0","0","0","510000000","8500000","하나금융지주","58,400","-100","-0.17"
"58JD38","KBJD38신한지주콜","80","0","0","0","0","0","0","1000000000","12500000","신한지주","45,700","-500","-1.08"
"58JD39","KBJD39신한지주풋","30","0","0","0","0","0","0","501000000","16700000","신한지주","45,700","-500","-1.08"
