종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58J782","KBJ782삼성전자풋","10","0","0","0","0","0","0","250000000","25000000","삼성전자","81,200","1400","1.75"
"58J793","KBJ793LG에너지풋","125","0","0","0","0","0","0","1875000000","15000000","LG에너지솔루션","343,000","12000","3.63"
"58J801","KBJ801네이버풋","45","0","0","0","0","0","0","819000000","18200000","NAVER","167,900","1100","0.66"
"58J810","KBJ810기아콜","320","0","0","0","0","0","0","4160000000","13000000","기아","132,300","1300","0.99"
"58J815","KBJ815엘지전자콜","10","0","0","0","0","0","0","150000000","15000000","LG전자","108,000","6200","6.09"
"58J836","KBJ836모비스콜","15","0","0","0","0","0","0","330000000","22000000","현대모비스","242,000","6500","2.76"
"58J843","KBJ843신한지주콜","160","0","0","0","0","0","0","2400000000","15000000","신한지주","46,350","650","1.42"
"58J859","KBJ859케이티콜","55","5","55","55","55","44430","2443650","1210000000","22000000","KT","36,400","100","0.28"
"58J993","KBJ993삼성전자풋","5","0","0","0","0","0","0","102500000","20500000","삼성전자","81,200","1400","1.75"
"58JA03","KBJA03SK하이닉풋","5","0","0","0","0","0","0","78500000","15700000","SK하이닉스","233,500","-1000","-0.43"
"58JA09","KBJA09LG에너지풋","165","-20","165","165","165","10","1650","1683000000","10200000","LG에너지솔루션","343,000","12000","3.63"
"58JA19","KBJA19삼성SDI풋","235","0","0","0","0","0","0","1997500000","8500000","삼성SDI","392,500","17500","4.67"
"58JA21","KBJA21현대차콜","375","0","0","0","0","0","0","3300000000","8800000","현대차","286,500","3500","1.24"
"58JA28","KBJA28카카오풋","15","0","0","0","0","0","0","177000000","11800000","카카오","42,800","500","1.18"
"58JA51","KBJA51LG이노텍풋","25","0","0","0","0","0","0","417500000","16700000","LG이노텍","265,000","1500","0.57"
"58JA52","KBJA52LG이노텍풋","10","0","0","0","0","0","0","150000000","15000000","LG이노텍","265,000","1500","0.57"
"58JA54","KBJA54삼성바이풋","15","0","0","0","0","0","0","238500000","15900000","삼성바이오로직스","755,000","15000","2.03"
"58JA68","KBJA68카카뱅크풋","20","0","25","25","20","20","450","300000000","15000000","카카오뱅크","21,100","150","0.72"
"58JA75","KBJA75NC소프트풋","30","-5","35","35","30","50","1550","537000000","17900000","엔씨소프트","189,900","6000","3.26"
"58JA76","KBJA76SK텔레콤콜","30","0","35","35","30","432000","12960050","300000000","10000000","SK텔레콤","51,200","-300","-0.58"
"58JA78","KBJA78SK텔레콤풋","35","0","0","0","0","0","0","549500000","15700000","SK텔레콤","51,200","-300","-0.58"
"58JA79","KBJA79SK텔레콤풋","15","0","0","0","0","0","0","201000000","13400000","SK텔레콤","51,200","-300","-0.58"
