종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58K280","KBK280KOSPI200콜","1295","0","0","0","0","0","0","15540000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K281","KBK281KOSPI200콜","1205","0","0","0","0","0","0","15062500000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K282","KBK282KOSPI200콜","1450","0","0","0","0","0","0","18125000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K283","KBK283KOSPI200콜","1300","0","0","0","0","0","0","16250000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K284","KBK284KOSPI200콜","1340","0","0","0","0","0","0","16750000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K285","KBK285KOSPI200풋","365","0","0","0","0","0","0","4562500000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K286","KBK286KOSPI200풋","10","0","0","0","0","0","0","125000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K287","KBK287KOSPI200풋","15","0","0","0","0","0","0","187500000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K288","KBK288KOSPI200풋","20","0","0","0","0","0","0","240000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K289","KBK289KOSPI200풋","15","0","0","0","0","0","0","180000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K290","KBK290KOSPI200풋","20","5","15","20","15","365870","5488100","230000000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K291","KBK291KOSPI200풋","15","0","0","0","0","0","0","165000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K292","KBK292KOSPI200풋","20","0","0","0","0","0","0","210000000","10500000","코스피 200","373.86","-2.14","-0.57"
"58K293","KBK293KOSPI200풋","25","0","0","0","0","0","0","250000000","10000000","코스피 200","373.86","-2.14","-0.57"
"58K294","KBK294KOSPI200풋","30","0","30","35","30","1996720","60161600","300000000","10000000","코스피 200","373.86","-2.14","-0.57"
"58K295","KBK295KOSPI200풋","40","5","40","40","40","3678340","147133600","380000000","9500000","코스피 200","373.86","-2.14","-0.57"
"58K296","KBK296KOSPI200풋","55","10","55","60","45","5276950","264858550","522500000","9500000","코스피 200","373.86","-2.14","-0.57"
"58K297","KBK297KOSPI200풋","65","0","60","75","60","5863230","375191900","357500000","5500000","코스피 200","373.86","-2.14","-0.57"
"58K298","KBK298KOSPI200풋","85","15","80","85","75","90670","7292150","425000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K299","KBK299KOSPI200풋","30","5","30","30","30","10","300","375000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K300","KBK300KOSPI200풋","80","0","0","0","0","0","0","960000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K301","KBK301KOSPI200풋","90","0","0","0","0","0","0","1035000000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K302","KBK302KOSPI200풋","105","0","0","0","0","0","0","1207500000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K303","KBK303KOSPI200풋","115","0","0","0","0","0","0","1265000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K304","KBK304KOSPI200풋","155","0","0","0","0","0","0","1627500000","10500000","코스피 200","373.86","-2.14","-0.57"
"58K305","KBK305KOSPI200풋","185","0","0","0","0","0","0","1850000000","10000000","코스피 200","373.86","-2.14","-0.57"
"58K306","KBK306KOSPI200풋","200","0","0","0","0","0","0","2000000000","10000000","코스피 200","373.86","-2.14","-0.57"
"58K307","KBK307KOSPI200풋","230","0","0","0","0","0","0","2185000000","9500000","코스피 200","373.86","-2.14","-0.57"
"58K308","KBK308KOSPI200풋","530","0","0","0","0","0","0","5035000000","9500000","코스피 200","373.86","-2.14","-0.57"
"58K309","KBK309KOSPI200풋","75","0","0","0","0","0","0","862500000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K310","KBK310KOSPI200풋","150","0","0","0","0","0","0","1650000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K311","KBK311KOSPI200풋","165","0","0","0","0","0","0","1815000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K312","KBK312KOSPI200풋","175","0","0","0","0","0","0","1837500000","10500000","코스피 200","373.86","-2.14","-0.57"
"58K313","KBK313KOSPI200풋","110","0","0","0","0","0","0","1100000000","10000000","코스피 200","373.86","-2.14","-0.57"
"58K314","KBK314삼성전자풋","55","0","0","0","0","0","0","748000000","13600000","삼성전자","78,100","-1500","-1.88"
"58K315","KBK315SK하이닉풋","10","-15","10","10","10","100","1000","65000000","6500000","SK하이닉스","223,000","2000","0.90"
"58K317","KBK317POSCO홀콜","15","0","0","0","0","0","0","145500000","9700000","POSCO홀딩스","371,000","-9000","-2.37"
"58K318","KBK318POSCO홀풋","150","0","0","0","0","0","0","1335000000","8900000","POSCO홀딩스","371,000","-9000","-2.37"
"58K319","KBK319삼성SDI콜","65","-110","60","65","60","284340","18126700","500500000","7700000","삼성SDI","381,000","-2500","-0.65"
"58K321","KBK321LG에너지콜","15","0","0","0","0","0","0","154500000","10300000","LG에너지솔루션","336,500","-12500","-3.58"
"58K323","KBK323LG화학콜","20","0","0","0","0","0","0","194000000","9700000","LG화학","355,000","-6000","-1.66"
"58K325","KBK325LG화학콜","15","0","0","0","0","0","0","139500000","9300000","LG화학","355,000","-6000","-1.66"
"58K326","KBK326LG화학풋","120","0","0","0","0","0","0","1284000000","10700000","LG화학","355,000","-6000","-1.66"
"58K327","KBK327네이버콜","20","0","0","0","0","0","0","200000000","10000000","NAVER","166,100","-3800","-2.24"
"58K328","KBK328네이버콜","15","-5","15","15","15","10110","151650","145500000","9700000","NAVER","166,100","-3800","-2.24"
"58K329","KBK329기아콜","85","20","80","85","80","12450","1002150","875500000","10300000","기아","129,100","6400","5.22"
"58K330","KBK330기아풋","55","0","0","0","0","0","0","847000000","15400000","기아","129,100","6400","5.22"
"58K331","KBK331기아풋","20","-5","20","20","20","112230","2244600","282000000","14100000","기아","129,100","6400","5.22"
"58K333","KBK333셀트리온풋","25","0","25","25","25","20","500","275000000","11000000","셀트리온","179,800","-3600","-1.96"
"58K334","KBK334현대차풋","25","0","0","0","0","0","0","385000000","15400000","현대차","278,500","10500","3.92"
"58K336","KBK336카카오콜","10","0","0","0","0","0","0","95000000","9500000","카카오","42,400","-1500","-3.42"
"58K337","KBK337SK이노콜","35","10","30","35","25","71100","2488350","350000000","10000000","SK이노베이션","108,800","-3100","-2.77"
"58K339","KBK339엘지전자콜","70","0","0","0","0","0","0","588000000","8400000","LG전자","100,400","1500","1.52"
"58K341","KBK341하이브콜","50","-5","55","55","50","20","1050","565000000","11300000","하이브","202,500","2000","1.00"
"58K343","KBK343삼성전기풋","45","0","0","0","0","0","0","634500000","14100000","삼성전기","150,700","-1000","-0.66"
"58K344","KBK344한화솔루콜","55","-10","55","55","55","195470","10750850","335500000","6100000","한화솔루션","30,250","-800","-2.58"
"58K345","KBK345삼성바이콜","40","0","0","0","0","0","0","300000000","7500000","삼성바이오로직스","736,000","-1000","-0.14"
"58K346","KBK346두산에너콜","65","0","0","0","0","0","0","702000000","10800000","두산에너빌리티","19,680","20","0.10"
"58K347","KBK347NC소프트콜","50","0","0","0","0","0","0","540000000","10800000","엔씨소프트","185,800","2500","1.36"
"58K349","KBK349SK텔레콤풋","30","0","0","0","0","0","0","765000000","25500000","SK텔레콤","51,000","100","0.20"
"58K350","KBK350SK텔레콤콜","20","0","0","0","0","0","0","352000000","17600000","SK텔레콤","51,000","100","0.20"
"58K351","KBK351하나금융콜","60","-10","65","65","60","473310","29976300","774000000","12900000","하나금융지주","58,500","-100","-0.17"
"58K352","KBK352하나금융풋","60","5","60","60","60","37790","2267400","750000000","12500000","하나금융지주","58,500","-100","-0.17"
"58K353","KBK353LG이노텍풋","25","0","0","0","0","0","0","252500000","10100000","LG이노텍","261,500","-2500","-0.95"
"58K355","KBK355삼성중풋","25","0","0","0","0","0","0","260000000","10400000","삼성중공업","8,890","-150","-1.66"
"58K356","KBK356현대로템풋","40","0","0","0","0","0","0","360000000","9000000","현대로템","42,600","3900","10.08"
"58K357","KBK357모비스콜","40","0","40","40","40","10","400","692000000","17300000","현대모비스","235,000","-3000","-1.26"
"58K358","KBK358모비스풋","65","0","0","0","0","0","0","903500000","13900000","현대모비스","235,000","-3000","-1.26"
"58K359","KBK359모비스풋","70","5","65","70","65","177700","11639350","882000000","12600000","현대모비스","235,000","-3000","-1.26"
"58K361","KBK361아모레콜","165","0","0","0","0","0","0","1732500000","10500000","아모레퍼시픽","185,000","-1600","-0.86"
"58K363","KBK363우리금융콜","45","0","45","45","45","200","9000","468000000","10400000","우리금융지주","13,950","-170","-1.20"
"58K364","KBK364한국항공풋","15","-5","20","20","15","20","350","150000000","10000000","한국항공우주","53,000","1500","2.91"
"58K365","KBK365메리츠금풋","60","-5","65","65","60","959600","62351750","492000000","8200000","메리츠금융지주","74,600","1500","2.05"
