종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58J782","KBJ782삼성전자풋","10","0","0","0","0","0","0","250000000","25000000","삼성전자","79,600","1000","1.27"
"58J793","KBJ793LG에너지풋","125","0","0","0","0","0","0","1875000000","15000000","LG에너지솔루션","349,000","-14000","-3.86"
"58J801","KBJ801네이버풋","45","0","0","0","0","0","0","819000000","18200000","NAVER","169,900","0","0.00"
"58J810","KBJ810기아콜","320","0","0","0","0","0","0","4160000000","13000000","기아","122,700","1000","0.82"
"58J815","KBJ815엘지전자콜","10","0","0","0","0","0","0","150000000","15000000","LG전자","98,900","200","0.20"
"58J836","KBJ836모비스콜","15","5","20","20","15","83100","1602000","330000000","22000000","현대모비스","238,000","16500","7.45"
"58J843","KBJ843신한지주콜","160","0","0","0","0","0","0","2400000000","15000000","신한지주","46,950","0","0.00"
"58J859","KBJ859케이티콜","55","-10","55","55","55","741460","40780300","1210000000","22000000","KT","36,400","50","0.14"
"58J993","KBJ993삼성전자풋","5","0","0","0","0","0","0","102500000","20500000","삼성전자","79,600","1000","1.27"
"58JA03","KBJA03SK하이닉풋","5","0","0","0","0","0","0","78500000","15700000","SK하이닉스","221,000","-1000","-0.45"
"58JA09","KBJA09LG에너지풋","150","0","0","0","0","0","0","1530000000","10200000","LG에너지솔루션","349,000","-14000","-3.86"
"58JA19","KBJA19삼성SDI풋","235","0","0","0","0","0","0","1997500000","8500000","삼성SDI","383,500","-8000","-2.04"
"58JA21","KBJA21현대차콜","290","0","0","0","0","0","0","2552000000","8800000","현대차","268,000","-1000","-0.37"
"58JA28","KBJA28카카오풋","15","0","0","0","0","0","0","177000000","11800000","카카오","43,900","250","0.57"
"58JA51","KBJA51LG이노텍풋","25","0","0","0","0","0","0","417500000","16700000","LG이노텍","264,000","19000","7.76"
"58JA52","KBJA52LG이노텍풋","15","0","25","25","15","30","600","225000000","15000000","LG이노텍","264,000","19000","7.76"
"58JA54","KBJA54삼성바이풋","15","0","0","0","0","0","0","238500000","15900000","삼성바이오로직스","737,000","1000","0.14"
"58JA68","KBJA68카카뱅크풋","15","0","20","20","15","20","350","225000000","15000000","카카오뱅크","21,600","-500","-2.26"
"58JA75","KBJA75NC소프트풋","35","5","35","35","35","30","1050","626500000","17900000","엔씨소프트","183,300","-3300","-1.77"
"58JA76","KBJA76SK텔레콤콜","30","-5","30","30","30","104000","3120000","300000000","10000000","SK텔레콤","50,900","-200","-0.39"
"58JA78","KBJA78SK텔레콤풋","35","0","0","0","0","0","0","549500000","15700000","SK텔레콤","50,900","-200","-0.39"
"58JA79","KBJA79SK텔레콤풋","15","0","0","0","0","0","0","201000000","13400000","SK텔레콤","50,900","-200","-0.39"
"58JA84","KBJA84우리금융콜","65","0","60","65","60","314970","19530150","799500000","12300000","우리금융지주","14,120","160","1.15"
"58JC71","KBJC71삼성전자콜","75","0","75","75","75","2000","150000","922500000","12300000","삼성전자","79,600","1000","1.27"
"58JC72","KBJC72삼성전자콜","85","10","80","85","80","210","16850","1020000000","12000000","삼성전자","79,600","1000","1.27"
"58JC73","KBJC73삼성전자콜","75","5","75","80","75","39030","2929550","990000000","13200000","삼성전자","79,600","1000","1.27"
"58JC75","KBJC75삼성전자콜","125","0","0","0","0","0","0","1312500000","10500000","삼성전자","79,600","1000","1.27"
"58JC76","KBJC76삼성전자풋","15","-5","15","15","15","70","1050","247500000","16500000","삼성전자","79,600","1000","1.27"
"58JC81","KBJC81SK하이닉풋","10","0","0","0","0","0","0","117000000","11700000","SK하이닉스","221,000","-1000","-0.45"
"58JC83","KBJC83네이버콜","25","0","0","0","0","0","0","365000000","14600000","NAVER","169,900","0","0.00"
"58JD20","KBJD20삼성바이풋","30","0","0","0","0","0","0","450000000","15000000","삼성바이오로직스","737,000","1000","0.14"
"58JD21","KBJD21모비스콜","60","30","45","65","45","246170","14256600","942000000","15700000","현대모비스","238,000","16500","7.45"
"58JD22","KBJD22모비스콜","35","15","25","55","25","575750","23645700","595000000","17000000","현대모비스","238,000","16500","7.45"
"58JD24","KBJD24모비스풋","15","0","0","0","0","0","0","345000000","23000000","현대모비스","238,000","16500","7.45"
"58JD25","KBJD25모비스풋","30","0","0","0","0","0","0","630000000","21000000","현대모비스","238,000","16500","7.45"
"58JD30","KBJD30하나금융콜","60","0","0","0","0","0","0","510000000","8500000","하나금융지주","58,600","-1000","-1.68"
"58JD38","KBJD38신한지주콜","80","0","0","0","0","0","0","1000000000","12500000","신한지주","46,950","0","0.00"
"58JD39","KBJD39신한지주풋","30","0","0","0","0","0","0","501000000","16700000","신한지주","46,950","0","0.00"
"58JD42","KBJD42SK텔레콤콜","40","-5","45","45","40","20","850","340000000","8500000","SK텔레콤","50,900","-200","-0.39"
"58JD47","KBJD47S-OIL풋","15","0","20","20","15","20","350","250500000","16700000","S-Oil","67,800","1200","1.80"
"58JD49","KBJD49우리금융풋","10","0","0","0","0","0","0","180000000","18000000","우리금융지주","14,120","160","1.15"
"58JD53","KBJD53LG화학콜","15","0","0","0","0","0","0","78000000","5200000","LG화학","361,000","-6000","-1.63"
"58JD54","KBJD54LG화학풋","70","0","0","0","0","0","0","630000000","9000000","LG화학","361,000","-6000","-1.63"
"58JE26","KBJE26삼성전자콜","65","5","80","80","65","95560","6211550","760500000","11700000","삼성전자","79,600","1000","1.27"
"58JE27","KBJE27삼성전자콜","80","5","80","80","80","10","800","904000000","11300000","삼성전자","79,600","1000","1.27"
"58JE28","KBJE28삼성전자풋","20","0","0","0","0","0","0","296000000","14800000","삼성전자","79,600","1000","1.27"
"58JE30","KBJE30삼성전자풋","50","0","0","0","0","0","0","650000000","13000000","삼성전자","79,600","1000","1.27"
"58JE36","KBJE36SK하이닉콜","65","0","0","0","0","0","0","806000000","12400000","SK하이닉스","221,000","-1000","-0.45"
"58JE39","KBJE39네이버콜","30","0","0","0","0","0","0","420000000","14000000","NAVER","169,900","0","0.00"
